Nature de chambre;Nombre de chambres DSP Irise;Nombre de chambres (location);Nombre total;Territoire;Hors Territoire;INDT
-;80;522;602;406;196;0
3TR;1;0;1;0;1;0
A2;0;64;64;52;12;0
A2B;1;29;30;29;1;0
A2T;0;2;2;2;0;0
B1;0;1;1;1;0;0
B2;0;3;3;2;1;0
C2;0;1;1;1;0;0
CH0;0;4;4;0;4;0
CHA0;0;1;1;0;1;0
Chambre de;0;1;1;1;0;0
D1;0;1;1;1;0;0
D3;0;3;3;3;0;0
D3C;0;1;1;0;1;0
D4;0;1;1;1;0;0
HC;2;56;58;31;27;0
INC;0;3;3;3;0;0
INDETERMINE;4;0;4;3;1;0
J2C;20;80;100;94;6;0
J3C;0;4;4;4;0;0
K1C;19;61;80;73;7;0
K2C;110;251;361;290;71;0
K3C;18;17;35;35;0;0
L0T;15;25;40;40;0;0
L1T;321;209;530;464;66;0
L2C;0;1;1;1;0;0
L2T;238;750;988;915;73;0
L3C;0;1;1;1;0;0
L3T;1707;795;2502;1942;560;0
L4T;30;251;281;242;39;0
L5T;2;98;100;84;16;0
L6T;0;55;55;50;5;0
L7T;0;1;1;1;0;0
M1C;5;40;45;42;3;0
M2T;0;17;17;5;12;0
M3C;0;5;5;5;0;0
MM1;0;15;15;15;0;0
NC;1;5;6;6;0;0
OHN;1;1031;1032;1013;19;0
ONH;0;1;1;1;0;0
P1C;0;2;2;2;0;0
P1T;0;5;5;5;0;0
P2C;0;11;11;9;2;0
P2T;0;1;1;1;0;0
P3C;0;1;1;1;0;0
P3T;0;1;1;1;0;0
P4T;0;1;1;1;0;0
P5C;0;1;1;1;0;0
P5T;0;3;3;3;0;0
P6C;0;2;2;2;0;0
P6T;0;3;3;2;1;0
REGARD;4;0;4;2;2;0
RGD 50x50;1;0;1;0;1;0
Regard 50x;3;0;3;0;3;0
S1T;0;21;21;21;0;0
S3T;1;376;377;377;0;0
S4T;2;349;351;351;0;0
S5T;0;36;36;36;0;0
S6T;0;12;12;12;0;0
U2;0;1;1;1;0;0
U4T;0;35;35;35;0;0
U5T;0;71;71;71;0;0
U6T;0;27;27;27;0;0
U7T;0;12;12;12;0;0
V5T;0;9;9;9;0;0
V6T;0;20;20;20;0;0
V7T;0;4;4;4;0;0
Vide;13;19;32;27;1;0
XXX;2;0;2;2;0;0
polylignes48-49;1;0;1;0;1;0
